CIRCONSCRIPTION,RÉGION,PLQ,PQ,CAQ,QS,VERTS,NPDQ,PCQ,CAP
Abitibi-Est,Abit-Témisc,Guy Bourgeois,Élizabeth Larouche,Pierre Dufour,,Mélina Paquette,,Maxym Perron-Tellier,Éric Caron
Abitibi-Ouest,Abit-Témisc,,Sylvain Vachon,Suzanne Blais,Rose Marquis,Yan Dominic Couture,,,Stéphane Lévesque
Acadie,Montréal,Christine St-Pierre,Farida Sam,,Viviane Martinova-Croteau,Laurence Sicotte ,Michel Welt,Jocelyn Chouinard,
Anjou-Louis-Riel,Montréal,Lise Thériault,Karl Dugal,Michèle Gamelin,Marie-Josée Forget,,,,
Argenteuil,Laurentides,Bernard Bigras-Denis,Patrick Côté,,Céline Lachapelle,,,Sherwin Edwards,Louise Wiseman
Arthabaska,Centre-du-Q,,Jacques Daigle,Éric Lefebvre,William Champigny-Fortier,,,Lisette Gaudreault,
Beauce-Nord,Chaud-Appal,Myriam Taschereau,,Luc Provençal,,,,,Nicole Goulet
Beauce-Sud,Chaud-Appal,,,Samuel Poulin,Diane Vincent,Cassandre Poulin,,Milan Jovanovic,
Beauharnois,Montérégie,,Guy Leclerc,Claude Reid,Pierre-Paul St-Onge,,François Mantion,Yannick Campeau,
Bellechasse,Chaud-Appal,Dominique Vien,Benoît Béchard,Stéphanie Lachance,Benoît Comeau,,,Dominique Messner ,Nancy Fournier
Berthier,Lanaudière,,André Villeneuve,Caroline Proulx,Louise Beaudry,,,Sébastien Bélisle,
Bertrand,Laurentides,,Claude Cousineau,Nadine Girault,Mylène Jaccoud,,,,Benoît Pigeon
Blainville,Laurentides,Lucia Carvalho,,Mario Laframboise,William Lepage,Valérie Fortier,,,
Bonaventure,Gasp-Iles Mad,François Whittom,Sylvain Roy,Hélène Desaulniers,Catherine Cyr Wright,Heather Imhoff,,,Daniel Bouchard
Borduas,Montérégie,,Cédric Gagnon-Ducharme,Simon Jolin-Barrette,Annie Desharnais,Nicolas Gravel,,André Lecompte,
Bourassa-Sauvé,Montréal,,,Julie Séide,Alejandra Zaga Mendez,Younes Gouriny ,Abed Louis,Michel Boissonneault,Alexis Comtois
Bourget,Montréal,Vincent Girard,Maka Kotto,Richard Campeau,Marlène Lessard,Marieke Hassell-Crépeau ,,,
Brome-Missisquoi,Montérégie,,Andréanne Larouche,Isabelle Charest,Alexandre Legault,Elisabeth Dionne,,,Manon Gamache
